Repo,Path,File,Lines of Code
BluePrints,node_editor/gui/node_connection.py,node_connection.py,76
BluePrints,node_editor/gui/node_list.py,node_list.py,106
BluePrints,node_editor/gui/utils.py,utils.py,147
BluePrints,node_editor/gui/view.py,view.py,163
BluePrints,node_editor/gui/view_scene.py,view_scene.py,96
BluePrints,node_editor/menu.py,menu.py,71
BluePrints,node_editor/widget.py,widget.py,51
BluePrints,protocol_client/gui/console.py,console.py,25
BluePrints,protocol_client/gui/console_input.py,console_input.py,38
BluePrints,protocol_client/gui/layouts/menu.py,menu.py,34
BluePrints,protocol_client/gui/layouts/message.py,message.py,59
BluePrints,protocol_client/gui/layouts/port.py,port.py,83
BluePrints,protocol_client/gui/layouts/topic.py,topic.py,95
BluePrints,protocol_client/widget.py,widget.py,23
BluePrints,serial_port.py,serial_port.py,137
BluePrints,windows.py,windows.py,41
distributed_smarthouse_WA,base.py,base.py,13
distributed_smarthouse_WA,crud.py,crud.py,85
distributed_smarthouse_WA,main.py,main.py,5
distributed_smarthouse_WA,model.py,model.py,29
distributed_smarthouse_WA,server.py,server.py,75
distributed_smarthouse_WA,tester.py,tester.py,13
example-dvc-experiments,src/data_load.py,data_load.py,33
example-dvc-experiments,src/data_split.py,data_split.py,38
example-dvc-experiments,src/featurize.py,featurize.py,38
example-dvc-experiments,src/train.py,train.py,113
Game-Of-Life,main.py,main.py,100
Generation-of-medical-data,Anonymity.py,Anonymity.py,88
Generation-of-medical-data,CreateData.py,CreateData.py,51
Generation-of-medical-data,Decode.py,Decode.py,42
Generation-of-medical-data,Parsing (unused)/parsing_doctors.py,parsing_doctors.py,15
Generation-of-medical-data,Parsing (unused)/parsing_illness.py,parsing_illness.py,21
Generation-of-medical-data,different_functions/get_fun.py,get_fun.py,217
Generation-of-medical-data,different_functions/input.py,input.py,110
Generation-of-medical-data,different_functions/schedule.py,schedule.py,33
GitHub-Statistics,app.py,app.py,177
GitHub-Statistics,statsplots.py,statsplots.py,46
Heuristic_algorithms,main.py,main.py,62
Heuristic_algorithms,methods/ant.py,ant.py,98
Heuristic_algorithms,methods/genetic.py,genetic.py,181
Heuristic_algorithms,methods/neighborhood.py,neighborhood.py,51
Heuristic_algorithms,methods/simulated_annealing.py,simulated_annealing.py,70
Heuristic_algorithms,methods/swarm.py,swarm.py,167
Heuristic_algorithms,template/all_functions.py,all_functions.py,51
Heuristic_algorithms,template/body.py,body.py,142
Heuristic_algorithms,template/show.py,show.py,211
Heuristic_algorithms,template/widgets.py,widgets.py,153
Heuristic_algorithms,windows/annealing_window.py,annealing_window.py,20
Heuristic_algorithms,windows/ant_window.py,ant_window.py,22
Heuristic_algorithms,windows/genetic_window.py,genetic_window.py,29
Heuristic_algorithms,windows/neighbor_window.py,neighbor_window.py,9
Heuristic_algorithms,windows/swarm_window.py,swarm_window.py,30
Mathstatistics,Task_3/LRR.py,LRR.py,39
Mathstatistics,Task_4/BRR.py,BRR.py,46
Mathstatistics,Task_5/QRR.py,QRR.py,45
Mathstatistics,Task_5/RRR.py,RRR.py,56
Mathstatistics,dfprepare.py,dfprepare.py,22
Mathstatistics,mathstats.py,mathstats.py,130
Mathstatistics,mathstatsplots.py,mathstatsplots.py,214
Mathstatistics,regression.py,regression.py,66
OpenMPI_Practice,doExperiments.py,doExperiments.py,84
OpenMPI_Practice,myplots.py,myplots.py,94
OpenMP_Practice,myplots.py,myplots.py,81
Optimization-methods,dz1.py,dz1.py,99
Optimization-methods,dz2.py,dz2.py,126
Optimization-methods,dz4.py,dz4.py,146
Optimization-methods,number_method.py,number_method.py,22
titanic-pipelines,src/dfprepare.py,dfprepare.py,22
titanic-pipelines,src/models.py,models.py,173
TonConverter.io,app/converter.py,converter.py,30
TonConverter.io,app/main.py,main.py,109
TonConverter.io,bot/converter.py,converter.py,83
TonConverter.io,bot/keyboards.py,keyboards.py,40
TonConverter.io,bot/main.py,main.py,166
TonConverter.io,converter.py,converter.py,32
